Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
174,Gintama°: Aizome Kaori-hen,2168,Comedy,Bandai Namco Pictures,OVA,2,26,Aug-16,Nov-16,"80,188",8.4
175,Houseki no Kuni,479,"Action, Drama, Fantasy, Mystery",Orange,TV,12,24,Oct-17,Dec-17,"425,008",8.4
176,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),1094,"Action, Mystery, Romance, Supernatural, Suspense",ufotable,Movie,1,121,Aug-09,Aug-09,"198,318",8.4
177,Natsume Yuujinchou Roku Specials,3068,"Drama, Slice of Life, Supernatural",Shuka,Special,2,23,Sep-17,Oct-17,"43,413",8.4
178,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,527,"Drama, Fantasy",P.A. Works,Movie,1,115,Feb-18,Feb-18,"392,856",8.4
179,Tensei shitara Slime Datta Ken 2nd Season,183,"Action, Adventure, Comedy, Fantasy",8bit,TV,12,23,Jan-21,Mar-21,"844,957",8.39
180,Tian Guan Ci Fu,1713,"Action, Adventure, Drama, Supernatural",Haoliners Animation League,ONA,11,25,Oct-20,Jan-21,"114,763",8.39
181,3-gatsu no Lion,288,"Drama, Slice of Life",Shaft,TV,22,25,Oct-16,Mar-17,"643,278",8.39
182,Chihayafuru 2,966,"Drama, Sports",Madhouse,TV,25,22,Jan-13,Jun-13,"224,270",8.39
183,Cross Game,1656,"Drama, Romance, Sports",SynergySP,TV,50,23,Apr-09,Mar-10,"119,677",8.39
184,Kamisama Hajimemashita: Kako-hen,1353,"Comedy, Fantasy, Romance",TMS Entertainment,OVA,4,30,Aug-15,Aug-16,"156,243",8.39
185,Kaze ga Tsuyoku Fuiteiru,777,"Drama, Sports",Production I.G,TV,23,23,Oct-18,Mar-19,"280,547",8.39
186,Barakamon,298,Slice of Life,Kinema Citrus,TV,12,22,Jul-14,Sep-14,"629,615",8.38
187,Cowboy Bebop: Tengoku no Tobira,596,"Action, Sci-Fi",Bones,Movie,1,115,Sep-01,Sep-01,"355,019",8.38
188,Kimetsu no Yaiba: Mugen Ressha-hen,338,"Action, Fantasy",ufotable,TV,7,24,Oct-21,Nov-21,"580,502",8.38
189,Non Non Biyori Nonstop,1734,Slice of Life,SILVER LINK.,TV,12,24,Jan-21,Mar-21,"113,219",8.38
190,Kizumonogatari I: Tekketsu-hen,399,"Action, Mystery, Supernatural",Shaft,Movie,1,64,Jan-16,Jan-16,"498,415",8.37
191,Made in Abyss Movie 2: Hourou Suru Tasogare,1667,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",Kinema Citrus,Movie,1,105,Jan-19,Jan-19,"118,805",8.37
192,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,1114,"Drama, Suspense",Shaft,Movie,1,109,Oct-12,Oct-12,"193,201",8.37
193,Mushoku Tensei: Isekai Ittara Honki Dasu,120,"Drama, Fantasy, Ecchi",Studio Bind,TV,11,23,Jan-21,Mar-21,"1,109,635",8.37
194,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,272,"Comedy, Romance",Sentai Filmworks,TV,12,24,Jul-20,Sep-20,"666,880",8.37
195,Baccano!,176,"Action, Comedy, Mystery, Supernatural",Brain's Base,TV,13,24,Jul-07,Nov-07,"868,216",8.37
196,Fumetsu no Anata e,205,"Adventure, Drama, Supernatural",Brain's Base,TV,20,25,Apr-21,Aug-21,"788,650",8.37
197,Haikyuu!! To the Top,179,Sports,Production I.G,TV,13,24,Jan-20,Apr-20,"855,653",8.36
198,Kage no Jitsuryokusha ni Naritakute!,513,"Action, Comedy, Fantasy",Nexus,TV,20,23,Oct-22,Feb-23,"401,441",8.36
199,Kaze no Tani no Nausicaä,605,"Adventure, Award Winning, Fantasy",Topcraft,Movie,1,117,Mar-84,Mar-84,"350,535",8.36
200,Mahou Shoujo Madoka★Magica,98,"Award Winning, Drama, Suspense",Shaft,TV,12,24,Jan-11,Apr-11,"1,216,504",8.36
201,Usagi Drop,417,Slice of Life,Production I.G,TV,11,22,Jul-11,Sep-11,"474,733",8.36
202,Yoru ni Kakeru,4781,Music,,Music,1,4,Nov-19,Nov-19,"17,321",8.36
203,Bakuman. 2nd Season,629,"Comedy, Drama, Romance",J.C.Staff,TV,25,24,Oct-11,Mar-12,"340,590",8.35
204,Gintama: Shiroyasha Koutan,2433,"Action, Comedy, Sci-Fi",Sunrise,Special,1,10,Sep-08,Sep-08,"66,519",8.35
205,Hellsing Ultimate,170,"Action, Horror, Supernatural","Madhouse, Satelight, Graphinica",OVA,10,49,Feb-06,Dec-12,"873,865",8.35
206,K-On! Movie,695,"Award Winning, Comedy",Kyoto Animation,Movie,1,110,Dec-11,Dec-11,"312,101",8.35
207,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,135,"Drama, Fantasy, Suspense",White Fox,TV,13,27,Jul-20,Sep-20,"1,017,677",8.35
208,Kiseijuu: Sei no Kakuritsu,42,"Action, Horror, Sci-Fi",Madhouse,TV,24,23,Oct-14,Mar-15,"1,750,061",8.34
209,Neon Genesis Evangelion,45,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Gainax, Tatsunoko Production",TV,26,24,Oct-95,Mar-96,"1,682,807",8.34
210,Psycho-Pass,59,"Action, Sci-Fi, Suspense",Production I.G,TV,22,23,Oct-12,Mar-13,"1,546,264",8.34
211,Spy x Family Part 2,250,"Action, Comedy","Wit Studio, CloverWorks",TV,13,24,Oct-22,Dec-22,"702,329",8.34
212,Boku no Hero Academia 6th Season,427,Action,Bones,TV,25,23,Oct-22,Mar-23,"469,599",8.34
